GESTION;2017;;;;;;;
TYPE BUDGET;Comptes de concours financiers;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2016; AEPLF;CPLF 2016;CPPLF
Accords monétaires internationaux;811;1;71;Prêts et avances;0;0;0;0
Accords monétaires internationaux;812;1;71;Prêts et avances;0;0;0;0
Accords monétaires internationaux;813;1;71;Prêts et avances;0;0;0;0
Avances à divers services de l'État ou organismes gérant des services publics;821;1;71;Prêts et avances;16 000 000 000;16 000 000 000;16 000 000 000;16 000 000 000
Avances à divers services de l'État ou organismes gérant des services publics;823;1;71;Prêts et avances;56 000 000;346 600 000;56 000 000;346 600 000
Avances à divers services de l'État ou organismes gérant des services publics;824;1;71;Prêts et avances;112 612 547;102 602 000;112 612 547;102 602 000
Avances à divers services de l'État ou organismes gérant des services publics;825;1;71;Prêts et avances;15 000 000;15 000 000;15 000 000;15 000 000
Avances à l'audiovisuel public;841;1;71;Prêts et avances;2 559 611 113;2 598 280 011;2 559 611 113;2 598 280 011
Avances à l'audiovisuel public;842;1;71;Prêts et avances;269 801 969;280 011 969;269 801 969;280 011 969
Avances à l'audiovisuel public;843;1;71;Prêts et avances;619 497 236;625 112 736;619 497 236;625 112 736
Avances à l'audiovisuel public;844;1;71;Prêts et avances;249 124 000;256 811 872;249 124 000;256 811 872
Avances à l'audiovisuel public;845;1;71;Prêts et avances;90 869 000;90 869 000;90 869 000;90 869 000
Avances à l'audiovisuel public;847;1;71;Prêts et avances;78 548 905;80 008 935;78 548 905;80 008 935
Avances aux collectivités territoriales;832;1;71;Prêts et avances;6 000 000;6 000 000;6 000 000;6 000 000
Avances aux collectivités territoriales;833;1;71;Prêts et avances;95 974 240 564;97 902 806 692;95 974 240 564;97 902 806 692
Avances aux collectivités territoriales;833;2;71;Prêts et avances;5 877 904 311;5 877 914 822;5 877 904 311;5 877 914 822
Avances aux collectivités territoriales;833;3;71;Prêts et avances;906 427 651;951 202 755;906 427 651;951 202 755
Avances aux collectivités territoriales;833;4;71;Prêts et avances;954 866 917;957 283 641;954 866 917;957 283 641
Prêts à des États étrangers;851;1;71;Prêts et avances;372 000 000;300 000 000;300 000 000;300 000 000
Prêts à des États étrangers;852;1;71;Prêts et avances;734 707 502;148 000 000;734 707 502;148 000 000
Prêts à des États étrangers;853;1;71;Prêts et avances;400 000 000;1 552 000 000;58 500 000;250 000 000
Prêts à des États étrangers;854;1;71;Prêts et avances;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;4;71;Prêts et avances;485 000;450 000;485 000;450 000
Prêts et avances à des particuliers ou à des organismes privés;862;1;71;Prêts et avances;150 000 000;100 000 000;150 000 000;100 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;3;71;Prêts et avances;5 000 000;5 000 000;5 000 000;5 000 000
